Province;Crime Category;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022;2022/2023;2023/2024
North West;Drug-related crime;11632;12189;11972;13825;9910;7140;3511;4705;5896;7056
North West;Driving under the influence of alcohol or drugs;1927;2583;2562;2725;2777;3480;1303;2479;2310;3001
North West;Sexual offences detected as a result of police action;106;87;255;261;428;704;230;741;1257;1761
North West;Crime detected as a result of police action;14196;15537;15524;17485;13807;12028;5661;8494;10205;12666
North West;Kidnapping;321;251;288;347;378;424;375;507;628;758
Northern Cape;Murder;413;372;344;340;322;326;287;366;392;400
Northern Cape;Sexual offences;1578;1719;1587;1538;1578;1590;1295;1317;1535;1570
Northern Cape;Attempted murder;562;658;550;480;532;468;474;780;1700;2020
Northern Cape;Assault with the intent to inflict grievous bodily harm;8813;8889;8173;7723;7790;7594;6356;7017;6810;7503
Northern Cape;Common assault;4803;4598;4440;4375;4481;4533;4301;5045;5761;5704
Northern Cape;Common robbery;1262;1348;1506;1285;1408;1437;1170;999;1107;1121
Northern Cape;Robbery with aggravating circumstances;1446;1387;1505;1639;1780;1643;1426;1323;1569;1690
Northern Cape;Contact crime (Crimes against the person);18877;18971;18105;17380;17891;17591;15309;16847;18874;20008
Northern Cape;Rape;1181;1287;1143;1100;1121;1125;908;952;1099;1130
Northern Cape;Sexual assault;228;240;235;245;255;229;207;212;253;259
Northern Cape;Attempted sexual offences;128;147;154;130;150;186;142;101;144;157
Northern Cape;Contact sexual offences;41;45;55;63;52;50;38;52;39;24
Northern Cape;Carjacking;15;47;29;37;39;34;20;23;38;41
Northern Cape;Robbery at residential premises;123;106;142;159;157;132;151;141;157;176
